code,parent_code,name,region_type,center_lat,center_lng
11380109,11380,신사동,eup-myeon-dong,37.59591808352735,126.90744517041259
11380110,11380,증산동,eup-myeon-dong,37.58317619252306,126.90608658492489
11380114,11380,진관동,eup-myeon-dong,37.6422489853061,126.93406540512048
11410,11,서대문구,si-gun-gu,37.58285894506021,126.93564653443116
11410101,11410,충정로2가,eup-myeon-dong,37.56496405851239,126.96396915790561
11410102,11410,충정로3가,eup-myeon-dong,37.562285348807464,126.9621529779022
11410103,11410,합동,eup-myeon-dong,37.56135884585323,126.96623171230641
11410104,11410,미근동,eup-myeon-dong,37.56356688751005,126.96737986077
11410105,11410,냉천동,eup-myeon-dong,37.56749190732596,126.96221627288884
11410106,11410,천연동,eup-myeon-dong,37.56747797518433,126.95974170746676
11410107,11410,옥천동,eup-myeon-dong,37.56919801884068,126.95911200308377
11410108,11410,영천동,eup-myeon-dong,37.57015522862429,126.95830623811632
11410109,11410,현저동,eup-myeon-dong,37.5741146012156,126.95471411058028
11410110,11410,북아현동,eup-myeon-dong,37.563695112173164,126.95483796511921
11410111,11410,홍제동,eup-myeon-dong,37.58732399899863,126.94725976785975
11410112,11410,대현동,eup-myeon-dong,37.56139813164578,126.94529406069248
11410113,11410,대신동,eup-myeon-dong,37.5646425568252,126.9438927210573
11410114,11410,신촌동,eup-myeon-dong,37.56515295352614,126.94332978475603
11410115,11410,봉원동,eup-myeon-dong,37.57263167642958,126.94721182215591
11410116,11410,창천동,eup-myeon-dong,37.55880980842299,126.93413296884617
11410117,11410,연희동,eup-myeon-dong,37.572527180257936,126.93124703711572
11410118,11410,홍은동,eup-myeon-dong,37.59333873946426,126.93955511059806
11410119,11410,북가좌동,eup-myeon-dong,37.578833805593604,126.91169775673677
11410120,11410,남가좌동,eup-myeon-dong,37.576692216398065,126.91848694318766
11440,11,마포구,si-gun-gu,37.56228635499435,126.90876338722234
11440101,11440,아현동,eup-myeon-dong,37.554419488110995,126.95594690501156
11440102,11440,공덕동,eup-myeon-dong,37.54743110703947,126.95497598092891
11440103,11440,신공덕동,eup-myeon-dong,37.54439755117775,126.95559070289876
11440104,11440,도화동,eup-myeon-dong,37.539557490729564,126.95060982206596
11440105,11440,용강동,eup-myeon-dong,37.54131529701566,126.94043629320291
11440106,11440,토정동,eup-myeon-dong,37.53888275988997,126.9396663955226
11440107,11440,마포동,eup-myeon-dong,37.536878377347705,126.94360664809007
11440108,11440,대흥동,eup-myeon-dong,37.5498954132286,126.94266776220738
11440109,11440,염리동,eup-myeon-dong,37.54922354372101,126.94710346393362
11440110,11440,노고산동,eup-myeon-dong,37.55402418027822,126.93822687780656
11440111,11440,신수동,eup-myeon-dong,37.5480054766397,126.93724330877347
11440112,11440,현석동,eup-myeon-dong,37.542255857788085,126.93452531588159
11440113,11440,구수동,eup-myeon-dong,37.546003822424225,126.93226438823945
11440114,11440,창전동,eup-myeon-dong,37.549872403622025,126.92905022417013
11440115,11440,상수동,eup-myeon-dong,37.547023771430645,126.92435511354788
11440116,11440,하중동,eup-myeon-dong,37.54380306294989,126.92826321254623
11440117,11440,신정동,eup-myeon-dong,37.54325962106785,126.93065061641241
11440118,11440,당인동,eup-myeon-dong,37.54352911534701,126.92348333747572
11440120,11440,서교동,eup-myeon-dong,37.55364826470863,126.92110294804127
11440121,11440,동교동,eup-myeon-dong,37.558094020854114,126.92578679668333
11440122,11440,합정동,eup-myeon-dong,37.54780163996375,126.90797440307038
11440123,11440,망원동,eup-myeon-dong,37.55593624486687,126.89989972872621
11440124,11440,연남동,eup-myeon-dong,37.56266755011313,126.92235448556585
11440125,11440,성산동,eup-myeon-dong,37.56621448409926,126.90390625526024
11440126,11440,중동,eup-myeon-dong,37.57167065399099,126.90672473738167
11440127,11440,상암동,eup-myeon-dong,37.57154226932914,126.87785700594219
11470,11,양천구,si-gun-gu,37.5270547564144,126.85613714888484
11470101,11470,신정동,eup-myeon-dong,37.51632919681123,126.85238372508456
11470102,11470,목동,eup-myeon-dong,37.53672546441916,126.87639942471174
11470103,11470,신월동,eup-myeon-dong,37.52802641765143,126.83704783501327
11500,11,강서구,si-gun-gu,37.56575846055383,126.822637670527
11500101,11500,염창동,eup-myeon-dong,37.55596610738828,126.87122379457381
11500102,11500,등촌동,eup-myeon-dong,37.55198120784917,126.8527742849198
11500103,11500,화곡동,eup-myeon-dong,37.5421647217735,126.84682678289448
